"scenario","year","tas","tas_30yr"
"ssp370",1959,8.77899303697562,8.11314111572103
"ssp370",1960,8.99619754311819,8.14728235218435
"ssp370",1961,8.30704638337438,8.15210727604369
"ssp370",1962,8.47246653935683,8.1679003172342
"ssp370",1963,8.29763141788851,8.18131995399977
"ssp370",1964,8.50820696054263,8.16647385700102
"ssp370",1965,7.60169819871042,8.14164810540463
"ssp370",1966,8.99232436924767,8.15694608005172
"ssp370",1967,8.30492210910747,8.1480660375445
"ssp370",1968,9.28094880984783,8.16009544860094
"ssp370",1969,8.13605589148119,8.17823351263267
"ssp370",1970,7.09349381956338,8.17277917594997
"ssp370",1971,7.27894671714471,8.10573328029946
"ssp370",1972,8.39989115397138,8.11676530164634
"ssp370",1973,8.63165876832729,8.15083274298571
"ssp370",1974,8.31768840633029,8.16569390082845
"ssp370",1975,8.03818183794416,8.17239462037442
"ssp370",1976,7.57488044780462,8.15421451626763
"ssp370",1977,7.5006912022421,8.12253399824359
"ssp370",1978,7.30318804179155,8.14474985865072
"ssp370",1979,6.91793221251608,8.11935887412857
"ssp370",1980,8.03340038862387,8.12363113533915
"ssp370",1981,7.42320932884741,8.07105510615822
"ssp370",1982,7.71576780554369,8.07512804516957
"ssp370",1983,9.02574329114942,8.09738006406761
"ssp370",1984,7.67601044868513,8.06052838364885
"ssp370",1985,8.23711589656466,8.06864116825662
"ssp370",1986,7.50651128063465,8.05917953380419
"ssp370",1987,8.1842550199326,8.08951426007684
"ssp370",1988,7.70160439913392,8.07455539088006
"ssp370",1989,8.17144198482986,8.05430368914186
"ssp370",1990,8.56629529979133,8.0399736143643
"ssp370",1991,7.49396069670379,8.01287075814195
"ssp370",1992,6.64260654136785,7.95187542487565
"ssp370",1993,6.72048573951201,7.8993039022631
"ssp370",1994,7.3679030326948,7.86129377133484
"ssp370",1995,7.51089510982986,7.85826700170549
"ssp370",1996,8.94726327364564,7.85676496518542
"ssp370",1997,9.04936088666526,7.88157959110401
"ssp370",1998,8.66181180771085,7.86094169103278
"ssp370",1999,8.48193459706766,7.87247098121899
"ssp370",2000,8.77231179325961,7.9284315803422
"ssp370",2001,9.33890539718003,7.99709686967671
"ssp370",2002,8.12793671072348,7.98803172156845
"ssp370",2003,7.90155204877464,7.96369483091669
"ssp370",2004,9.09229889749832,7.9895151806223
"ssp370",2005,8.2929872277665,7.99800869361637
"ssp370",2006,8.52064936389664,8.02953432415277
"ssp370",2007,9.11840092907215,8.08345798171378
"ssp370",2008,10.3448929750203,8.18484814615474
"ssp370",2009,9.19209853916954,8.26065369037652
"ssp370",2010,8.91116692529968,8.28991257493238
"ssp370",2011,9.07924879936325,8.34511389061624
"ssp370",2012,8.81673275473342,8.3818127222559
"ssp370",2013,9.8146261972924,8.40810881912733
"ssp370",2014,8.30796057296128,8.42917382326987
"ssp370",2014,6.28261183740922,8.36402368796469
"ssp370",2015,8.50832478856777,8.39741747156246
"ssp370",2016,8.6912693152633,8.41431794807348
"ssp370",2017,8.78921854109793,8.45057175280561
"ssp370",2018,8.92107404045002,8.47555948799295
"ssp370",2019,8.70312441455625,8.48012045848512
"ssp370",2020,8.71514325631706,8.52082654380556
"ssp370",2021,9.14628439515518,8.60428247226513
"ssp370",2022,8.89813350395954,8.67687073108005
"ssp370",2023,8.71656524181674,8.72182613805079
"ssp370",2024,8.88748630870684,8.76771251134668
"ssp370",2025,8.82241511843184,8.76355090617289
"ssp370",2026,8.8768164638953,8.75779942541389
"ssp370",2027,8.84358641571455,8.76385857901401
"ssp370",2028,8.8637644730915,8.77658624154814
"ssp370",2029,8.83325082672227,8.77861754266356
"ssp370",2030,9.01643897654608,8.76786866197577
"ssp370",2031,8.97201716264236,8.79600467703973
"ssp370",2032,8.99679160415211,8.83251266221898
"ssp370",2033,9.02749738238724,8.83035261171528
"ssp370",2034,9.10240422295518,8.85733317822156
"ssp370",2035,9.1465711947936,8.87819723925146
"ssp370",2036,9.12923278352069,8.87855830106641
"ssp370",2037,9.3502732836604,8.84540431135442
"ssp370",2038,9.19991187346183,8.84566475583083
"ssp370",2039,9.1744604664212,8.85444120720154
"ssp370",2040,9.28265037144675,8.86122125960433
